step,residual
   2000,  1.768207E-01
   4000,  5.650537E-02
   6000,  2.295552E-02
   8000,  8.824368E-03
  10000,  8.708218E-03
  12000,  7.256458E-03
  14000,  5.054102E-03
  16000,  3.573728E-03
  18000,  2.816086E-03
  20000,  1.726292E-03
  22000,  1.434675E-03
  24000,  9.425496E-04
  26000,  7.089813E-04
  28000,  5.733934E-04
  30000,  3.605009E-04
  32000,  3.323643E-04
  34000,  2.345077E-04
  36000,  1.806246E-04
  38000,  1.478371E-04
  40000,  1.129231E-04
  42000,  9.311628E-05
  44000,  7.328425E-05
  46000,  5.905427E-05
  48000,  5.087694E-05
  50000,  4.080542E-05
  52000,  3.239644E-05
  54000,  2.793915E-05
  56000,  2.212065E-05
  58000,  1.833948E-05
  60000,  1.639308E-05
  62000,  1.332402E-05
  64000,  1.130077E-05
  66000,  9.689828E-06
  68000,  7.985730E-06
  70000,  6.712003E-06
  72000,  5.962038E-06
  74000,  4.983445E-06
  76000,  4.276172E-06
  78000,  3.682531E-06
  80000,  3.126040E-06
  82000,  2.639911E-06
  84000,  2.312642E-06
  86000,  1.972547E-06
  88000,  1.684777E-06
  90000,  1.456845E-06
  92000,  1.249035E-06
  94000,  1.061907E-06
  96000,  9.214530E-07
