y,u_ghia,u_sim,error
  0.0000,  0.00000000,  0.00000000,  0.00000000
  0.0547, -0.03717000, -0.03722235,  0.00005235
  0.0625, -0.04192000, -0.04196850,  0.00004850
  0.0703, -0.04775000, -0.04661194,  0.00113806
  0.1016, -0.06434000, -0.06441544,  0.00007544
  0.1719, -0.10150000, -0.10168974,  0.00018974
  0.2813, -0.15662000, -0.15750309,  0.00088309
  0.4531, -0.21090000, -0.21363353,  0.00273353
  0.5000, -0.20581000, -0.20882934,  0.00301934
  0.6172, -0.13641000, -0.13869023,  0.00228023
  0.7344,  0.00332000,  0.00407350,  0.00075350
  0.8516,  0.23151000,  0.23643950,  0.00492950
  0.9531,  0.68717000,  0.69093060,  0.00376060
  0.9609,  0.73722000,  0.74037404,  0.00315404
  0.9688,  0.78871000,  0.79185015,  0.00314015
  0.9766,  0.84123000,  0.84365655,  0.00242655
  1.0000,  1.00000000,  1.00000000,  0.00000000
