y,u_sim
  0.000000,  0.00000000
  0.003906, -0.00297108
  0.011719, -0.00870477
  0.019531, -0.01424714
  0.027344, -0.01961428
  0.035156, -0.02482128
  0.042969, -0.02988229
  0.050781, -0.03481061
  0.058594, -0.03961871
  0.066406, -0.04431829
  0.074219, -0.04892032
  0.082031, -0.05343509
  0.089844, -0.05787221
  0.097656, -0.06224068
  0.105469, -0.06654884
  0.113281, -0.07080449
  0.121094, -0.07501478
  0.128906, -0.07918633
  0.136719, -0.08332517
  0.144531, -0.08743676
  0.152344, -0.09152597
  0.160156, -0.09559713
  0.167969, -0.09965397
  0.175781, -0.10369962
  0.183594, -0.10773662
  0.191406, -0.11176689
  0.199219, -0.11579174
  0.207031, -0.11981182
  0.214844, -0.12382713
  0.222656, -0.12783700
  0.230469, -0.13184007
  0.238281, -0.13583429
  0.246094, -0.13981688
  0.253906, -0.14378434
  0.261719, -0.14773243
  0.269531, -0.15165618
  0.277344, -0.15554985
  0.285156, -0.15940695
  0.292969, -0.16322027
  0.300781, -0.16698181
  0.308594, -0.17068287
  0.316406, -0.17431403
  0.324219, -0.17786518
  0.332031, -0.18132552
  0.339844, -0.18468364
  0.347656, -0.18792754
  0.355469, -0.19104466
  0.363281, -0.19402195
  0.371094, -0.19684593
  0.378906, -0.19950278
  0.386719, -0.20197834
  0.394531, -0.20425829
  0.402344, -0.20632814
  0.410156, -0.20817339
  0.417969, -0.20977958
  0.425781, -0.21113244
  0.433594, -0.21221792
  0.441406, -0.21302236
  0.449219, -0.21353254
  0.457031, -0.21373583
  0.464844, -0.21362026
  0.472656, -0.21317464
  0.480469, -0.21238863
  0.488281, -0.21125286
  0.496094, -0.20975896
  0.503906, -0.20789971
  0.511719, -0.20566903
  0.519531, -0.20306207
  0.527344, -0.20007524
  0.535156, -0.19670623
  0.542969, -0.19295406
  0.550781, -0.18881900
  0.558594, -0.18430264
  0.566406, -0.17940781
  0.574219, -0.17413851
  0.582031, -0.16849991
  0.589844, -0.16249818
  0.597656, -0.15614047
  0.605469, -0.14943475
  0.613281, -0.14238966
  0.621094, -0.13501441
  0.628906, -0.12731856
  0.636719, -0.11931187
  0.644531, -0.11100406
  0.652344, -0.10240464
  0.660156, -0.09352260
  0.667969, -0.08436620
  0.675781, -0.07494267
  0.683594, -0.06525788
  0.691406, -0.05531604
  0.699219, -0.04511933
  0.707031, -0.03466747
  0.714844, -0.02395737
  0.722656, -0.01298260
  0.730469, -0.00173296
  0.738281,  0.00980610
  0.746094,  0.02165400
  0.753906,  0.03383563
  0.761719,  0.04638196
  0.769531,  0.05933069
  0.777344,  0.07272688
  0.785156,  0.08662355
  0.792969,  0.10108231
  0.800781,  0.11617383
  0.808594,  0.13197832
  0.816406,  0.14858572
  0.824219,  0.16609586
  0.832031,  0.18461818
  0.839844,  0.20427123
  0.847656,  0.22518174
  0.855469,  0.24748316
  0.863281,  0.27131361
  0.871094,  0.29681327
  0.878906,  0.32412089
  0.886719,  0.35336966
  0.894531,  0.38468212
  0.902344,  0.41816438
  0.910156,  0.45389945
  0.917969,  0.49194004
  0.925781,  0.53230073
  0.933594,  0.57495001
  0.941406,  0.61980240
  0.949219,  0.66671116
  0.957031,  0.71546205
  0.964844,  0.76576898
  0.972656,  0.81727208
  0.980469,  0.86953926
  0.988281,  0.92207208
  0.996094,  0.97431698
  1.000000,  1.00000000
